,Keyword,Position,Url,Top10,HTTP code BABBAR,TTFB (en ms) BABBAR,Page Value BABBAR,Page Trust BABBAR,Semantic Value BABBAR,Backlinks BABBAR,Backlinks host BABBAR,Host Outlinks BABBAR,Outlinks BABBAR,Score_1fr,Desktop First Contentful Paint Terrain,Desktop First Input Delay Terain,Desktop Largest Contentful Paint Terrain,Desktop Cumulative Layout Shift Terrain,Desktop First Contentful Paint Lab,Desktop Speed Index Lab,Desktop Largest Contentful Paint Lab,Desktop Time to Interactive Lab,Desktop Total Blocking Time Lab,Desktop Cumulative Layout Shift Lab,SOSEO yourtext_guru,DSEO yourtext_guru,Content Type,Status Code,Status,Indexability_x,Indexability Status_x,Title 1,Title 1 Length,Title 1 Pixel Width,Meta Description 1,Meta Description 1 Length,Meta Description 1 Pixel Width,Meta Keywords 1,Meta Keywords 1 Length,H1-1,H1-1 Length,H1-2,H1-2 Length,H2-1,H2-1 Length,H2-2,H2-2 Length,Meta Robots 1,Meta Robots 2,X-Robots-Tag 1,Meta Refresh 1,Canonical Link Element 1,"rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1",amphtml Link Element,Size (bytes),Transferred (bytes),Word Count,Sentence Count,Average Words Per Sentence,Flesch Reading Ease Score,Readability,Text Ratio,Crawl Depth,Folder Depth,Link Score,Inlinks,Unique Inlinks,Unique JS Inlinks,% of Total,Outlinks,Unique Outlinks,Unique JS Outlinks,External Outlinks,Unique External Outlinks,Unique External JS Outlinks,Closest Similarity Match,No. Near Duplicates,Spelling Errors,Grammar Errors,Hash,Response Time,Last Modified,Redirect URL,Redirect Type,Cookies,HTTP Version,URL Encoded Address,Crawl Timestamp,Errors,Warnings,Total Types,Unique Types,Type-1,Indexability_y,Indexability Status_y,Title 1 score,Meta Description 1 score,Meta Keywords 1 score,H1-1 score,H1-2 score,H2-1 score,H2-2 score,Meta Robots 1 score,Url score
10,agence seo lille,11,https://www.optimize360.fr/agence-seo-360/lieux/agence-seo-lille/,1,200.0,1502.0,67.0,25.0,,0.0,57.0,108.0,9.0,87.0,3343.0,3.0,3560.0,9.0,3343.0,1330.0067332628926,3560.0,1403.5,34.5,9.0,144.0,33.0,text/html; charset=UTF-8,200,OK,Indexable,,Agence SEO Lille I Référencement Naturel Optimize 360,53,499,Vous souhaitez travailler avec la meilleure agence SEO à Lille ? Optimize 360 vous accompagne dans la mise en place de votre approche de référencement naturel SEO,162,1020,,0,Agence SEO Optimize 360 Lille Référencement Naturel,51,,0,Optimisez votre SEO avec l'agence de référencement naturel Optimize 360 Lille,77,Notre Agence SEO Lille est aussi spécialisée en,47,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",,,,https://www.optimize360.fr/agence-seo-360/lieux/agence-seo-lille/,,,,,,204086,28252,1916,348,0,0,Fairly Easy,0,0,3,,6,1,0,0,260,113,0,14,9,0,,,,,790a599f691cceb9b2f9f7feb8331233,0,"Sat, 27 Jan 2024 16:31:07 GMT",,,,1.1,https://www.optimize360.fr/agence-seo-360/lieux/agence-seo-lille/,2024-01-30 15:10:01,0,0,0,0,,Indexable,,0,0,0,0,0,0,0,0,0
11,agence seo lille,12,https://promatec.digital/agence-de-referencement-naturel-agence-seo-lille/,1,200.0,955.0,76.0,38.0,,0.0,254.0,206.0,4.0,83.0,,,,,,681.9823598959897,,740.0,3.0,,85.0,15.0,text/html; charset=UTF-8,200,OK,Indexable,,Agence SEO Lille: Référencement Naturel SEO Google à Lille,58,538,"Spécialisée en référencement naturel, notre Agence SEO Lille est à vos côtés pour optimiser votre visibilité sur le moteur de recherche Google",142,858,,0,"Agence de référencement naturel : Agence SEO Lille au service de votre visibilité. Nous déployons des stratégies SEO (Search Engine Optimization, ou référencement naturel) sur-mesure pour améliorer votre visibilité sur les moteurs de recherche (SERP), notamment Google",268,,0,Vous recherchez une Agence Web près de Lille ?,46,Vous rechercher une agence SEO près de Lille ?,46,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",,,,https://promatec.digital/agence-de-referencement-naturel-agence-seo-lille/,,,,,,87403,16435,1740,222,0,0,Normal,0,0,1,,3,1,0,0,219,207,0,4,4,0,,,,,7ba6f54bdb906266d014fab27cb699d8,0,"Thu, 11 Jan 2024 11:06:34 GMT",,,,1.1,https://promatec.digital/agence-de-referencement-naturel-agence-seo-lille/,2024-01-30 15:09:58,0,0,0,0,,Indexable,,0,0,0,0,0,0,0,0,0
12,agence seo lille,13,https://junto.fr/blog/agences-seo-lille/,1,200.0,229.0,,,,6.0,0.0,62.0,10.0,91.0,877.0,4.0,1081.0,3.0,877.0,632.4971529687779,1081.0,2004.5025033950806,39.0,3.0,158.0,42.0,text/html; charset=UTF-8,200,OK,Indexable,,Voici les 15 meilleures agences SEO sur Lille - Junto,53,465,"Aujourd’hui, le référencement naturel est le premier levier d’acquisition digitale pour les entreprises, et un instrument incontournable",136,806,,0,Voici les 15 meilleures agences SEO sur Lille,45,,0,Sommaire,8,1- Seo Monkey,13,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",,,,https://junto.fr/blog/agences-seo-lille/,,,,,,136882,35434,2260,298,0,0,Normal,0,0,2,,20,1,0,0,143,64,0,13,9,0,,,,,51b10a5804d7157445f20b4aeeb49396,0,,,,,1.1,https://junto.fr/blog/agences-seo-lille/,2024-01-30 15:09:56,0,0,0,0,,Indexable,,0,0,0,0,0,0,0,0,0
13,agence seo lille,14,https://www.alexeo.fr/agence-seo-lille.html,1,200.0,2989.0,70.0,35.0,,16.0,220.0,39.0,6.0,,,,,,,933.4758972649992,,917.0,0.0,,99.0,21.0,text/html; charset=UTF-8,200,OK,Indexable,,Agence SEO à Lille (59) | Alexeo,32,284,Faites appel à une agence SEO spécialisée dans le référencement naturel et proposant ses services aux entreprises Lilloises dans le Nord de la France.,150,919,,0,Agence SEO à Lille (59) : expert en référencement naturel,57,,0,L’importance d’être présent sur le web pour une entreprise Lilloise,67,Quelles sont les missions d’une agence SEO ?,44,"index, follow","index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1",,,https://www.alexeo.fr/agence-seo-lille.html,,,,,,200713,46051,2250,363,0,0,Normal,0,0,0,,9,1,0,0,80,38,0,12,12,0,,,,,caff4a802f05e5919fb8623e6a5d2761,0,,,,,1.1,https://www.alexeo.fr/agence-seo-lille.html,2024-01-30 15:09:56,0,0,0,0,,Indexable,,0,0,0,0,0,0,0,0,0
14,agence seo lille,15,https://www.pixalione.fr/agence-seo/lille/,1,200.0,540.0,67.0,32.0,45.0,1.0,1069.0,61.0,6.0,91.0,1841.0,3.0,2045.0,19.0,1841.0,1092.112769963434,2045.0,1170.0003147125244,54.5,19.0,122.0,30.0,text/html; charset=UTF-8,200,OK,Indexable,,"Agence SEO Lille, Pixalione une agence différente",49,443,"Vous êtes basés à Lille ou ses environs et vous cherchez une agence compétente et sérieuse. Pixalione vous accompagne sur Technique, Contenu, Netlinking, vSEO (Youtube), Géolocalisation, Refonte de site (SEO), etc.",214,1334,,0,,0,Agence SEO Lille,16,"Agence SEO Lille, Pixalione une agence différente",49,Agence SEO à Lille,18,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",,,,https://www.pixalione.fr/agence-seo/lille/,,,,,,112213,20436,2439,319,0,0,Normal,0,0,2,,4,1,0,0,79,60,0,6,6,0,,,,,729ae6f78c105dc14a26f4845a9a7016,0,,,,,1.1,https://www.pixalione.fr/agence-seo/lille/,2024-01-30 15:10:02,0,0,0,0,,Indexable,,0,0,0,0,0,0,0,0,0
15,agence seo lille,16,https://www.arkee.fr/lille/,1,200.0,479.0,64.0,24.0,,0.0,131.0,28.0,7.0,,645.0,3.0,710.0,5.0,645.0,1096.7829067825323,710.0,1374.0,7.0,5.0,81.0,7.0,text/html; charset=UTF-8,200,OK,Indexable,,Agence SEO Lille - Arkée - Du référencement autrement,53,496,"Terminé le trafic qui n'est ni prévisible, ni à la hauteur. Notre agence SEO à Lille est là pour lui donner un sérieux coup de boost.",133,772,,0,Besoin d’une agence spécialisée SEO sur Lille ?,47,,0,"Le référencement fait bien les choses, here we are.",51,Nos méthodes d’experts.,23,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",,,,https://www.arkee.fr/lille/,,,,,,139193,40107,1718,220,0,0,Fairly Easy,0,0,1,,2,1,0,0,53,27,0,12,8,0,,,,,d1c6cb725b49c017018a3398357e90e7,0,"Tue, 30 Jan 2024 11:08:00 GMT",,,,1.1,https://www.arkee.fr/lille/,2024-01-30 15:10:00,0,0,0,0,,Indexable,,0,0,0,0,0,0,0,0,0
16,agence seo lille,17,https://ads-up.fr/agence-seo/agence-seo-a-lille/,1,200.0,1101.0,55.0,9.0,49.0,2.0,47.0,45.0,14.0,65.0,2254.0,3.0,2492.0,7.0,2254.0,2489.649677189751,2492.0,4008.5,266.5,7.0,54.0,5.0,text/html; charset=UTF-8,200,OK,Indexable,,"Agence SEO Lille, Experte en référencement naturel | Ad's up",60,540,"Pérennisez votre trafic organique tout en maîtrisant votre ROI via l’optimisation de votre référencement naturel grâce à Ad’s up, agence SEO à Lille.",149,901,,0,Agence SEO : Agence SEO à Lille,31,,0,"Ad’s up, agence experte en référencement naturel à Lille",56,Notre agence SEO à Lille : une méthodologie répondant à vos besoins uniques,75,max-image-preview:large,"max-snippet:-1, max-image-preview:large, max-video-preview:-1",,,https://ads-up.fr/agence-seo/agence-seo-a-lille/,,,,,,67392,16987,1149,208,0,0,Normal,0,0,2,,8,1,0,0,76,46,0,22,14,0,,,,,e1d1cc0bb78d48907b51db23e30d951c,0,,,,,1.1,https://ads-up.fr/agence-seo/agence-seo-a-lille/,2024-01-30 15:10:01,0,0,0,0,,Indexable,,0,0,0,0,0,0,0,0,0
17,agence seo lille,18,https://www.aseox.fr/,1,200.0,268.0,76.0,42.0,65.0,147.0,102.0,10.0,1.0,,,,,,,495.0,,495.0,0.0,,27.0,0.0,text/html; charset=UTF-8,200,OK,Indexable,,Aseox : Agence SEO à Lille,26,237,"Depuis 2009, de nombreux acteurs du web à Lille (59) et partout en France, ont décidé d'accorder leur confiance à l'agence SEO Aseox.",133,824,,0,Une agence de référencement à Lille réputée,43,,0,Offrez-vous une agence SEO performante,38,Optimisation technique SEO,26,max-image-preview:large,,,,https://www.aseox.fr/,,,,,,28751,8138,466,64,0,0,Normal,0,0,0,,3,1,0,0,14,8,0,2,2,0,,,,,871722b7f96d6f6567852f128f906b24,0,,,,,1.1,https://www.aseox.fr/,2024-01-30 15:09:59,0,0,0,0,,Indexable,,0,0,0,0,0,0,0,0,0
18,agence seo lille,19,https://www.darwin-agency.com/agence-seo/nos-implantations/agence-seo-lille/,1,200.0,704.0,59.0,33.0,,10.0,55.0,40.0,3.0,81.0,730.0,3.0,1496.0,26.0,730.0,6354.115567457282,1496.0,4367.75,3.5,26.0,88.0,16.0,text/html; charset=UTF-8,200,OK,Indexable,,Agence SEO Lille - Darwin Agency,32,299,"Darwin Agency, agence basée à Lille depuis 15 ans, est experte en optimisation SEO et vous accompagne ainsi sur les fondamentaux de cette discipline.",149,931,,0,Agence SEO Lille,16,,0,"Darwin Agency, le moteur de votre visibilité sur Lille et la région Hauts-de-France",83,Un service complet de prestations SEO sur-mesure,48,"index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1",,,,https://www.darwin-agency.com/agence-seo/nos-implantations/agence-seo-lille/,,,,,,103761,20641,1274,163,0,0,Normal,0,0,3,,1,1,0,0,80,40,0,3,3,0,,,,,f377b2a7bf4599a6d97659e8ce8c2bac,0,,,,,1.1,https://www.darwin-agency.com/agence-seo/nos-implantations/agence-seo-lille/,2024-01-30 15:09:58,0,0,0,0,,Indexable,,0,0,0,0,0,0,0,0,0
19,agence seo lille,20,https://web-agence-lille.fr/agence-seo-lille/,1,,,43.0,,,0.0,1.0,0.0,0.0,75.0,,,,,,1016.1542912140496,,2436.5,43.0,,,,text/html; charset=UTF-8,200,OK,Indexable,,- Web Agence Lille,18,165,"Agence SEO à Lille · Objectif n°1 sur Google grâce au référencement naturel · Boostez votre visibilité, trafic et ROI · Création & optimisation de contenu",154,918,,0,Agence SEO Lille,16,,0,Objectif : N°1 sur Google à Lille,33,Nos prestations de référencement SEO à Lille,44,max-image-preview:large,,,,https://web-agence-lille.fr/agence-seo-lille/,,,,,,91757,22410,1343,224,0,0,Fairly Easy,0,0,1,,16,1,0,0,154,74,0,1,1,0,,,,,4de7b78c7ef13021f4821f2d44cc4971,0,,,,,1.1,https://web-agence-lille.fr/agence-seo-lille/,2024-01-30 15:10:03,0,0,0,0,,Indexable,,0,0,0,0,0,0,0,0,0
20,agence seo lille,21,https://velcomeseo.fr/agence-seo-lille,1,200.0,241.0,79.0,49.0,75.0,205.0,3.0,26.0,4.0,80.0,837.0,,1558.0,4.0,837.0,1912.0,1558.0,2540.25,188.0,4.0,77.0,9.0,text/html; charset=utf-8,200,OK,Indexable,,Agence SEO Lille – Velcome SEO,30,295,"Si vous cherchez une agence de SEO à Lille pour répondre aux besoins de votre entreprise, Velcome SEO est là pour vous aider !",126,778,,0,L’agence SEO à Lille qui vous positionne sur Google,51,,0,Des experts SEO à Lille pour booster votre trafic,49,Pourquoi faire du SEO ?,23,,,,,https://velcomeseo.fr/agence-seo-lille,,,,,,103138,16069,1542,223,0,0,Fairly Easy,0,0,0,,0,0,0,0,59,26,0,8,4,0,,,,,1b526ea5bc91904d7f44d75d3244b09b,0,,,,,1.1,https://velcomeseo.fr/agence-seo-lille,2024-01-30 15:10:02,0,0,0,0,,Indexable,,0,0,0,0,0,0,0,0,0
21,agence seo lille,22,https://www.tactee.fr/agence-lille/seo/,1,200.0,421.0,57.0,35.0,,0.0,8.0,103.0,2.0,,970.0,3.0,1199.0,2.0,970.0,765.3166631704669,1199.0,1811.5,11.5,2.0,38.0,1.0,text/html; charset=UTF-8,200,OK,Indexable,,Agence SEO Lille - Référencement naturel Google | Tactee,56,518,Vous souhaitez faire appel à une agence SEO à Lille ? Nos spécialistes Lillois en référencement naturel vous conseillent dans la mise en place de votre stratégie.,162,976,,0,Agence SEO à Lille - Optimisez votre référencement naturel,58,,0,4 pôles d'expertise métier,26,Agence SEO Tactee Lille,23,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",,,,https://www.tactee.fr/agence-lille/seo/,,,,,,137756,17460,762,106,0,0,Normal,0,0,2,,1,1,0,0,128,101,0,2,2,0,,,,,f1fba7c9f5479fd8862d2168a57d99f5,0,,,,,1.1,https://www.tactee.fr/agence-lille/seo/,2024-01-30 15:09:56,0,0,0,0,,Indexable,,0,0,0,0,0,0,0,0,0
